scriptlabel,location
DETAILED_X,551
DETAILED_Y,230
ACCUMULATION_X,785
CAT-SUBCAT-ACCUM_Y,258
ACCUMULATION-TOTAL_Y,345
CATEGORY_X,328
CATEGORY-GOAL_Y,520
CATEGORY-KEYPASS_Y,655
SUBCATEGORY_X,501
SUBCATEGORY-SITUATION_Y,300
SUBCATEGORY-ACCURACY_Y,323
deselect-all_X,200
deselect-all_Y,530
