"mnum","teamdate","team","date","goal","fkblock","fkgoal","fkmiss","fktarget","penblock","pengoal","penmiss","pentarget","shotibblock","shotibgoal","shotibmiss","shotibtarget","shotobblock","shotobgoal","shotobmiss","shotobtarget","assist","cornertaken","cross","keypass"
1,"middlesbrough 20150515","middlesbrough",20150515,3,0,0,1,0,0,0,0,0,1,2,1,0,0,1,4,1,2,3,13,8
2,"middlesbrough 20150314","middlesbrough",20150314,4,0,0,0,0,0,0,0,0,2,4,5,0,0,0,2,0,4,3,8,13
3,"middlesbrough 20150303","middlesbrough",20150303,3,0,0,0,0,0,0,0,0,1,3,3,4,1,0,0,0,2,3,13,9
4,"middlesbrough 20150307","middlesbrough",20150307,1,0,0,0,0,0,0,0,0,3,1,7,2,6,0,7,3,0,9,29,27
5,"middlesbrough 20150228","middlesbrough",20150228,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,1,0,3,11,9
6,"middlesbrough 20150210","middlesbrough",20150210,2,0,0,0,0,0,0,0,0,1,2,3,3,1,0,3,1,2,5,19,13
7,"middlesbrough 20150120","middlesbrough",20150120,2,0,0,0,0,0,0,0,0,3,2,5,4,2,0,4,1,1,5,17,17
8,"middlesbrough 20150131","middlesbrough",20150131,1,0,0,0,0,0,1,0,0,2,1,4,3,1,0,2,0,0,7,20,12
9,"middlesbrough 20150403","middlesbrough",20150403,1,0,0,1,0,0,0,0,0,2,0,1,1,1,1,3,1,1,8,24,8
10,"middlesbrough 20150406","middlesbrough",20150406,0,0,0,1,0,0,0,0,0,2,0,5,2,1,0,2,0,0,6,21,11
11,"middlesbrough 20150411","middlesbrough",20150411,2,0,0,0,0,0,0,1,0,3,2,3,4,2,0,1,2,2,7,17,14
12,"middlesbrough 20150317","middlesbrough",20150317,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,4,9,5
13,"middlesbrough 20150414","middlesbrough",20150414,2,1,0,0,0,0,0,0,0,1,2,3,2,5,0,3,1,2,6,10,15
14,"middlesbrough 20140920","middlesbrough",20140920,4,0,0,0,0,0,0,0,0,3,3,3,2,2,1,5,3,4,5,21,16
15,"middlesbrough 20140913","middlesbrough",20140913,2,0,1,0,0,0,1,0,0,1,1,3,2,3,1,6,0,0,11,30,10
16,"middlesbrough 20140816","middlesbrough",20140816,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,4,0,0,4,27,9
17,"middlesbrough 20150207","middlesbrough",20150207,3,0,0,0,0,0,0,0,0,3,2,4,2,2,1,1,3,3,10,24,15
18,"middlesbrough 20150215","middlesbrough",20150215,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,3,10,3
19,"verona 20150517","verona",20150517,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,5,1,1,5,36,11
20,"verona 20150530","verona",20150530,2,0,0,0,0,0,0,0,1,0,2,8,1,3,0,1,1,2,6,32,10
21,"verona 20150510","verona",20150510,2,1,0,0,0,0,0,0,0,3,2,2,1,3,0,3,0,2,3,18,9
22,"verona 20150429","verona",20150429,1,0,0,0,0,0,0,0,0,0,1,3,3,2,0,3,0,1,7,30,9
23,"verona 20150503","verona",20150503,0,0,0,0,1,0,0,0,0,1,0,6,2,1,0,2,2,0,6,25,7
24,"verona 20150524","verona",20150524,2,0,0,0,0,0,1,0,0,0,2,4,4,1,0,0,1,1,3,27,10
25,"verona 20150426","verona",20150426,3,0,0,0,1,0,0,0,0,1,3,4,4,1,0,0,2,3,6,20,12
26,"verona 20150420","verona",20150420,1,0,0,0,0,0,0,0,1,4,1,2,3,2,0,0,0,0,7,25,8
27,"verona 20150322","verona",20150322,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,12,2
28,"verona 20150411","verona",20150411,0,0,0,0,0,0,0,1,0,3,0,8,3,0,0,2,2,0,4,31,9
29,"verona 20150315","verona",20150315,2,0,0,0,1,0,0,0,0,2,2,3,1,0,0,2,2,1,5,14,9
30,"verona 20150307","verona",20150307,2,0,0,0,0,0,1,0,0,2,2,4,2,2,0,0,1,1,3,26,10
31,"verona 20150301","verona",20150301,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,1,13,4
32,"verona 20150222","verona",20150222,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,1,6,19,6
33,"verona 20150215","verona",20150215,2,0,0,1,0,0,0,0,0,1,2,0,3,3,0,2,1,2,5,15,8
34,"verona 20150207","verona",20150207,1,0,0,0,0,0,0,0,0,2,1,2,3,4,0,4,1,1,8,37,13
35,"verona 20150201","verona",20150201,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,2,1,4,13,8
36,"verona 20150125","verona",20150125,1,0,0,1,0,0,0,0,0,0,1,5,2,1,0,5,3,1,0,26,12
37,"verona 20150111","verona",20150111,3,0,0,0,0,0,0,0,0,2,2,1,3,1,1,1,0,3,2,24,10
38,"verona 20150106","verona",20150106,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,1,2,0,1,26,8
39,"verona 20150118","verona",20150118,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,12,5
40,"verona 20141221","verona",20141221,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,3,1,0,6,31,8
41,"verona 20141214","verona",20141214,2,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,1,2,6,17,8
42,"verona 20141208","verona",20141208,1,0,0,0,0,0,0,0,0,1,1,4,5,3,0,1,0,0,10,28,13
43,"verona 20141129","verona",20141129,1,0,0,0,0,0,0,0,0,3,1,3,0,0,0,4,0,1,5,17,10
44,"verona 20141123","verona",20141123,1,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,2,1,6,17,9
45,"verona 20141109","verona",20141109,2,0,0,0,0,0,0,1,0,2,2,5,3,0,0,4,0,2,8,33,12
46,"verona 20141030","verona",20141030,1,1,0,1,0,0,1,0,0,0,1,5,1,1,0,2,1,0,2,15,7
47,"verona 20141026","verona",20141026,2,0,0,0,1,0,0,0,0,0,1,1,3,1,1,0,1,1,3,7,5
48,"verona 20141019","verona",20141019,1,1,0,1,0,0,0,0,0,1,0,4,5,4,1,4,2,1,8,25,19
49,"verona 20141004","verona",20141004,1,0,0,0,0,0,0,0,0,2,0,1,3,1,1,2,3,1,5,29,10
50,"verona 20140927","verona",20140927,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,1,0,0,2,14,9
51,"verona 20140924","verona",20140924,2,0,0,0,0,0,0,0,0,2,1,4,4,2,1,2,1,2,7,25,9
52,"verona 20140921","verona",20140921,1,0,0,0,0,0,0,0,1,0,1,3,1,3,0,2,1,1,1,14,8
53,"verona 20140915","verona",20140915,2,0,0,0,0,0,1,0,0,3,2,3,2,2,0,1,2,0,10,23,13
54,"verona 20140831","verona",20140831,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,1,0,2,15,6
55,"verona 20150404","verona",20150404,3,0,0,0,0,0,0,0,0,3,2,4,1,1,1,2,1,3,7,29,15
56,"verona 20141103","verona",20141103,1,0,0,0,0,0,0,0,0,0,1,4,1,2,0,3,0,1,4,39,10
57,"roma 20150517","roma",20150517,2,0,0,1,1,0,0,0,0,2,2,4,2,4,0,3,2,1,10,37,13
58,"roma 20150531","roma",20150531,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,1,2,20,6
59,"roma 20150509","roma",20150509,1,1,0,1,1,0,1,0,0,3,1,1,1,3,0,4,2,0,5,16,8
60,"roma 20150503","roma",20150503,2,1,0,0,0,0,0,0,0,1,2,2,0,2,0,4,4,0,7,11,10
61,"roma 20150429","roma",20150429,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,2,3,2,9,7
62,"roma 20150525","roma",20150525,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,2,8,18,6
63,"roma 20150425","roma",20150425,1,0,0,0,1,0,0,0,0,0,1,2,1,2,0,2,3,1,4,17,9
64,"roma 20150316","roma",20150316,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,4,3,0,12,43,15
65,"roma 20150419","roma",20150419,1,0,0,1,0,0,1,0,0,2,1,0,4,4,0,4,2,0,11,33,12
66,"roma 20150412","roma",20150412,1,1,0,0,0,0,1,0,0,2,1,7,1,1,0,6,4,0,7,21,16
67,"roma 20150308","roma",20150308,0,1,0,2,0,0,0,0,0,2,0,3,2,1,0,3,0,0,8,19,8
68,"roma 20150302","roma",20150302,1,1,0,0,0,0,0,0,0,0,1,2,1,3,0,0,1,1,1,16,6
69,"roma 20150222","roma",20150222,1,0,0,0,1,0,0,0,0,2,0,3,2,2,1,1,5,1,8,19,12
70,"roma 20150208","roma",20150208,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,3,2,2,6,16,9
71,"roma 20150131","roma",20150131,1,1,0,0,0,0,0,0,0,1,1,0,2,5,0,9,1,1,7,19,15
72,"roma 20150125","roma",20150125,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,5,3,1,4,20,11
73,"roma 20150106","roma",20150106,1,1,0,0,0,0,0,0,0,1,1,0,4,3,0,2,2,1,4,8,10
74,"roma 20150111","roma",20150111,2,0,0,0,0,0,0,0,0,2,2,3,0,1,0,1,2,2,3,22,9
75,"roma 20150117","roma",20150117,1,0,0,1,0,0,0,0,0,0,1,1,0,3,0,5,2,1,3,19,9
76,"roma 20141220","roma",20141220,0,1,0,0,1,0,0,0,0,2,0,2,4,6,0,1,1,0,10,33,13
77,"roma 20141214","roma",20141214,1,0,0,0,0,0,0,1,0,2,0,7,4,2,1,2,1,1,6,18,16
78,"roma 20141206","roma",20141206,2,0,0,0,0,0,1,0,0,3,2,4,3,4,0,5,0,1,11,40,14
79,"roma 20141130","roma",20141130,4,0,1,0,0,0,0,0,0,4,3,3,1,0,1,6,1,3,7,14,16
80,"roma 20141109","roma",20141109,3,0,0,0,1,0,0,0,0,1,1,2,1,1,2,1,5,3,2,9,11
81,"roma 20141101","roma",20141101,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,0,0,5,21,6
82,"roma 20141025","roma",20141025,0,0,0,0,0,0,0,0,0,6,0,2,5,4,0,3,0,0,14,33,13
83,"roma 20141018","roma",20141018,3,1,0,0,0,0,1,0,0,0,3,1,4,1,0,4,1,2,6,16,10
84,"roma 20141005","roma",20141005,2,0,0,0,0,0,1,0,0,0,2,3,0,2,0,1,0,1,5,9,5
85,"roma 20140927","roma",20140927,2,0,0,0,0,0,0,0,0,2,0,7,3,3,2,5,1,1,10,27,20
86,"roma 20140924","roma",20140924,2,0,1,0,0,0,0,0,0,2,1,2,0,3,1,1,2,1,9,17,9
87,"roma 20140921","roma",20140921,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,2,0,9,5
88,"roma 20140913","roma",20140913,1,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,1,0,0,13,7
89,"roma 20140830","roma",20140830,2,0,0,1,0,0,0,0,0,5,2,2,3,3,0,5,0,1,2,11,17
90,"roma 20141029","roma",20141029,2,0,0,1,0,0,0,0,0,5,2,2,2,0,0,3,2,2,7,14,13
91,"everton 20150106","everton",20150106,1,0,0,0,0,0,0,0,0,1,1,4,2,3,0,4,2,1,4,24,15
92,"everton 20150119","everton",20150119,0,1,0,0,1,0,0,1,0,3,0,2,1,6,0,1,4,0,8,42,12
93,"everton 20141018","everton",20141018,3,2,0,0,0,0,0,0,0,2,3,1,2,5,0,1,1,3,3,8,12
94,"everton 20150301","everton",20150301,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,3,0,0,9,24,4
95,"everton 20150524","everton",20150524,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,1,0,0,3,17,8
96,"everton 20150110","everton",20150110,1,2,0,1,0,0,0,0,0,0,1,0,3,3,0,3,1,1,4,18,7
97,"everton 20141130","everton",20141130,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,2,0,4,22,8
98,"everton 20141026","everton",20141026,3,0,0,0,0,0,0,0,0,2,2,1,3,3,1,1,2,2,4,9,11
99,"everton 20141109","everton",20141109,1,0,0,0,0,0,1,0,0,1,1,1,4,2,0,5,2,0,4,17,14
100,"everton 20141101","everton",20141101,0,1,0,2,0,0,0,0,0,2,0,3,1,4,0,5,2,0,11,32,11
101,"everton 20140927","everton",20140927,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,3,0,2,12,9
102,"everton 20140921","everton",20140921,2,1,0,0,0,0,1,0,0,1,2,6,2,4,0,0,2,1,7,15,11
103,"everton 20140913","everton",20140913,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,2,1,1,5,10
104,"everton 20140830","everton",20140830,3,1,0,0,0,0,0,0,0,2,3,0,3,4,0,3,1,3,8,32,14
105,"everton 20140823","everton",20140823,2,0,0,1,0,0,0,0,0,2,2,2,0,0,0,2,0,2,3,9,6
106,"everton 20140816","everton",20140816,2,0,0,0,0,0,0,0,0,2,2,3,1,3,0,2,0,1,6,17,6
107,"everton 20141005","everton",20141005,1,0,0,0,0,0,0,1,0,2,1,2,4,0,0,0,1,1,6,22,7
108,"everton 20141228","everton",20141228,2,0,0,1,0,0,0,0,0,1,2,4,0,0,0,2,0,2,3,16,7
109,"everton 20141226","everton",20141226,0,1,0,1,0,0,0,0,0,1,0,3,1,5,0,2,4,0,9,26,11
110,"everton 20150502","everton",20150502,2,0,0,0,0,0,1,0,0,2,2,1,1,1,0,0,2,0,3,17,3
111,"everton 20150211","everton",20150211,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,2,9,7
112,"everton 20150131","everton",20150131,1,0,0,1,0,0,0,0,0,2,1,3,1,4,0,3,0,0,1,10,11
113,"everton 20150207","everton",20150207,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,3,15,3
114,"everton 20150426","everton",20150426,3,1,0,0,0,0,0,0,0,0,3,0,1,1,0,1,3,2,7,15,7
115,"everton 20150404","everton",20150404,1,0,0,0,0,0,0,0,0,2,1,3,0,2,0,2,0,1,4,13,8
116,"everton 20150411","everton",20150411,1,0,0,0,0,0,0,0,0,2,1,0,3,0,0,2,4,1,6,15,10
117,"everton 20150509","everton",20150509,0,0,0,0,0,0,0,0,0,6,0,7,3,3,0,1,2,0,15,38,19
118,"everton 20150304","everton",20150304,0,0,0,1,1,0,0,0,0,2,0,0,3,2,0,1,2,0,6,29,5
119,"everton 20150418","everton",20150418,1,1,0,0,0,0,0,1,0,0,1,4,5,4,0,5,2,1,5,28,16
120,"everton 20150516","everton",20150516,2,0,0,1,0,0,0,0,0,2,2,7,1,4,0,3,2,2,8,21,18
121,"everton 20141220","everton",20141220,0,1,0,0,0,0,0,0,0,1,0,5,1,1,0,2,3,0,6,22,8
122,"everton 20150101","everton",20150101,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,4,2,0,8,19,4
123,"everton 20141206","everton",20141206,0,2,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,7,19,5
124,"everton 20141203","everton",20141203,1,0,0,0,1,0,0,0,0,3,1,2,1,0,0,3,3,1,6,22,9
125,"bournemouth 20150427","bournemouth",20150427,3,0,0,0,0,0,0,1,0,0,3,6,4,2,0,5,4,3,9,25,19
126,"bournemouth 20141101","bournemouth",20141101,3,0,0,0,0,0,1,0,0,2,3,2,1,3,0,3,0,0,9,27,9
127,"bournemouth 20141108","bournemouth",20141108,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,1,0,4,18,7
128,"bournemouth 20141104","bournemouth",20141104,2,0,0,0,0,0,0,0,0,0,0,6,2,1,2,3,2,2,3,11,15
129,"bournemouth 20141004","bournemouth",20141004,2,0,0,0,1,0,0,0,0,1,2,2,0,2,0,2,4,2,7,8,10
130,"bournemouth 20140930","bournemouth",20140930,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,3,16,3
131,"bournemouth 20140927","bournemouth",20140927,2,0,0,0,0,0,0,0,0,1,2,2,3,4,0,4,1,2,8,35,16
132,"bournemouth 20141021","bournemouth",20141021,3,0,0,0,0,0,0,0,0,2,3,3,3,2,0,1,1,3,6,19,15
133,"bournemouth 20141025","bournemouth",20141025,8,0,0,0,0,0,1,0,1,3,7,4,7,1,1,3,2,5,5,14,20
134,"bournemouth 20140920","bournemouth",20140920,1,0,0,0,1,0,0,1,0,1,0,2,1,2,1,2,3,1,2,14,5
135,"bournemouth 20140916","bournemouth",20140916,1,0,0,0,0,0,0,0,0,6,0,2,4,3,1,3,2,0,8,40,15
136,"bournemouth 20140913","bournemouth",20140913,1,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,2,1,3,27,12
137,"bournemouth 20140830","bournemouth",20140830,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,1,1,4,17,8
138,"bournemouth 20140823","bournemouth",20140823,2,1,0,1,0,0,1,0,0,2,2,6,2,4,0,4,3,1,13,36,15
139,"bournemouth 20140819","bournemouth",20140819,1,0,0,0,1,0,0,0,0,4,1,5,3,2,0,0,2,0,17,40,14
140,"bournemouth 20140816","bournemouth",20140816,1,0,0,0,0,0,0,0,0,5,1,2,2,2,0,2,2,1,13,31,12
141,"bournemouth 20140809","bournemouth",20140809,4,0,0,0,0,0,0,1,0,0,4,0,2,1,0,4,1,3,4,10,6
142,"bournemouth 20141018","bournemouth",20141018,1,0,0,1,0,0,0,0,0,2,1,4,3,3,0,5,2,1,16,28,17
144,"bayern munich 20140813","bayern munich",20140813,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,3,11,3
145,"bayern munich 20150418","bayern munich",20150418,2,0,0,0,0,0,0,0,0,6,2,2,3,5,0,2,2,1,10,27,16
146,"bayern munich 20150509","bayern munich",20150509,0,0,0,1,0,0,0,0,0,1,0,2,5,1,0,6,1,0,4,14,15
147,"bayern munich 20150523","bayern munich",20150523,2,0,0,0,0,0,1,0,0,2,2,8,4,2,0,1,1,1,5,21,18
148,"bayern munich 20150502","bayern munich",20150502,0,1,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,4,6,8
149,"bayern munich 20150404","bayern munich",20150404,1,0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,3,4
150,"bayern munich 20150307","bayern munich",20150307,3,0,1,2,0,0,1,0,0,2,2,1,0,1,1,6,0,1,3,15,7
151,"bayern munich 20150425","bayern munich",20150425,1,0,0,0,0,0,0,0,0,3,1,3,3,0,0,2,4,1,5,22,14
152,"bayern munich 20150207","bayern munich",20150207,2,0,1,1,0,0,0,0,0,0,1,1,2,0,1,3,0,1,1,4,4
153,"bayern munich 20150203","bayern munich",20150203,1,0,0,1,0,0,0,0,1,1,1,4,1,0,0,3,0,1,5,11,7
154,"bayern munich 20150221","bayern munich",20150221,6,0,0,0,0,0,1,0,0,1,6,2,1,0,0,5,2,5,4,11,15
155,"bayern munich 20150227","bayern munich",20150227,4,0,0,1,0,0,0,0,0,4,3,6,4,0,1,5,1,4,14,22,17
156,"bayern munich 20150214","bayern munich",20150214,8,0,0,1,0,0,1,0,0,4,6,0,5,2,2,5,1,5,3,7,18
157,"bayern munich 20150130","bayern munich",20150130,1,0,0,0,2,0,0,0,0,3,1,5,3,1,0,0,3,0,5,16,10
158,"bayern munich 20141219","bayern munich",20141219,2,1,1,0,0,0,0,0,0,4,1,2,2,1,1,1,1,1,10,20,9
159,"bayern munich 20141101","bayern munich",20141101,2,0,0,1,0,0,1,0,0,2,1,7,8,1,1,1,4,0,9,21,21
160,"bayern munich 20141026","bayern munich",20141026,0,0,0,0,0,0,0,0,0,5,0,6,4,4,0,0,1,0,10,34,17
161,"bayern munich 20141004","bayern munich",20141004,4,0,0,0,1,0,0,0,0,3,4,4,3,1,0,5,3,3,11,19,20
162,"bayern munich 20140927","bayern munich",20140927,2,0,0,0,0,0,0,0,0,4,2,6,4,3,0,2,3,1,11,22,21
163,"bayern munich 20140923","bayern munich",20140923,4,0,0,0,0,0,0,0,0,2,3,8,3,1,1,5,2,3,9,17,18
164,"bayern munich 20140920","bayern munich",20140920,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,3,1,0,9,22,11
165,"bayern munich 20140913","bayern munich",20140913,2,0,0,0,1,0,0,0,0,0,2,2,5,2,0,1,2,1,2,9,10
166,"bayern munich 20140830","bayern munich",20140830,1,0,0,0,0,0,0,0,0,0,1,2,3,2,0,2,0,1,3,18,7
167,"bayern munich 20140822","bayern munich",20140822,2,0,0,0,1,0,0,0,0,1,2,2,8,3,0,0,1,2,9,12,15
168,"bayern munich 20150516","bayern munich",20150516,1,1,0,1,1,0,0,0,0,2,1,3,2,3,0,4,4,1,10,23,12
169,"preston 20150216","preston",20150216,1,0,0,1,0,0,0,0,0,1,1,2,2,2,0,3,3,1,2,17,8
170,"fulham 20150314","fulham",20150314,1,0,0,1,0,0,0,0,0,2,1,1,2,1,0,3,1,1,1,10,7
171,"fulham 20141229","fulham",20141229,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,8,1,0,9,31,13
172,"fulham 20150306","fulham",20150306,1,0,0,0,0,0,0,0,0,3,1,3,2,6,0,4,0,1,5,18,15
173,"fulham 20150221","fulham",20150221,0,0,0,0,0,0,0,0,0,2,0,5,1,2,0,1,1,0,4,16,11
174,"fulham 20150228","fulham",20150228,2,0,0,0,0,0,0,0,0,2,2,4,4,5,0,1,0,1,6,16,14
175,"fulham 20150224","fulham",20150224,0,0,0,0,0,0,0,0,0,2,0,2,2,5,0,3,2,0,3,23,15
176,"fulham 20150110","fulham",20150110,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,1,1,0,6,27,5
177,"fulham 20150210","fulham",20150210,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,1,2,12,7
178,"fulham 20150214","fulham",20150214,1,0,0,1,0,0,0,0,0,2,1,2,0,3,0,5,0,0,5,13,7
179,"fulham 20150117","fulham",20150117,2,0,0,1,0,0,0,0,0,1,2,1,2,2,0,2,0,2,5,18,8
180,"fulham 20150121","fulham",20150121,3,0,0,0,0,0,0,0,0,1,0,1,1,1,3,2,2,2,6,12,6
181,"fulham 20150131","fulham",20150131,1,0,0,0,0,0,0,0,0,1,1,4,3,3,0,0,0,1,0,14,12
182,"fulham 20150410","fulham",20150410,2,0,0,0,0,0,0,0,0,3,0,5,1,1,2,2,0,2,3,19,12
183,"fulham 20150318","fulham",20150318,0,0,0,0,0,0,0,0,0,2,0,10,7,4,0,2,2,0,5,24,18
184,"fulham 20150415","fulham",20150415,1,0,0,2,0,0,0,0,0,2,1,6,2,0,0,2,0,1,4,18,8
185,"fulham 20141129","fulham",20141129,2,1,0,0,0,0,0,0,0,1,2,5,1,6,0,2,0,2,5,17,14
186,"fulham 20141101","fulham",20141101,3,2,0,0,0,0,1,0,0,1,3,2,1,4,0,2,0,2,5,13,9
187,"fulham 20141226","fulham",20141226,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,5,17,6
188,"fulham 20141108","fulham",20141108,3,0,0,0,0,0,0,0,0,0,2,5,1,2,1,0,2,3,4,7,13
189,"fulham 20141105","fulham",20141105,2,1,0,0,0,0,0,0,0,2,1,10,4,10,1,1,3,1,18,62,24
190,"fulham 20141205","fulham",20141205,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,5,19,4
191,"fulham 20141018","fulham",20141018,1,0,0,0,0,0,0,0,0,0,1,3,2,2,0,1,0,1,6,12,9
192,"fulham 20141001","fulham",20141001,4,0,0,0,0,0,0,0,0,3,4,3,1,1,0,1,3,4,6,21,14
193,"fulham 20141004","fulham",20141004,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,2,1,0,4,18,6
194,"fulham 20141121","fulham",20141121,1,1,0,0,0,0,0,0,0,0,1,1,3,3,0,0,1,1,7,14,7
195,"fulham 20140927","fulham",20140927,2,0,0,0,1,0,0,0,0,1,2,2,4,0,0,2,2,0,6,14,9
196,"fulham 20141220","fulham",20141220,4,0,1,1,0,0,1,0,0,1,3,2,1,2,1,2,1,2,4,14,7
197,"fulham 20141021","fulham",20141021,3,0,0,0,0,0,1,0,0,0,3,3,2,1,0,2,4,2,5,22,12
198,"fulham 20140920","fulham",20140920,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,2,17,7
199,"fulham 20140917","fulham",20140917,3,0,1,0,0,0,0,0,0,0,2,3,1,0,1,3,3,2,7,17,9
200,"fulham 20140913","fulham",20140913,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,2,1,0,3,12,4
201,"fulham 20140830","fulham",20140830,1,0,0,1,0,0,0,0,0,0,1,2,0,5,0,8,2,1,9,27,13
202,"fulham 20140823","fulham",20140823,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,3,1,5,20,6
203,"fulham 20140820","fulham",20140820,0,0,0,0,0,0,0,0,1,2,0,2,0,5,0,3,1,0,7,21,11
204,"fulham 20140816","fulham",20140816,0,0,0,0,1,0,0,0,0,5,0,4,5,3,0,5,2,0,11,29,19
205,"fulham 20140809","fulham",20140809,1,0,0,0,0,0,0,0,0,3,1,1,1,1,0,5,1,1,3,17,11
206,"fulham 20150407","fulham",20150407,1,0,0,1,1,0,0,0,0,2,1,1,3,0,0,4,2,1,2,15,8
207,"fulham 20141024","fulham",20141024,3,0,0,0,0,0,0,0,0,1,3,6,3,1,0,1,0,2,2,17,13
208,"derby 20141230","derby",20141230,2,0,0,1,0,0,0,0,0,3,2,2,1,1,0,3,4,1,5,26,11
209,"derby 20150110","derby",20150110,1,0,0,1,0,0,0,0,0,3,1,1,0,1,0,2,2,0,4,16,7
210,"derby 20141129","derby",20141129,0,1,0,0,0,0,0,0,0,1,0,4,0,4,0,2,0,0,6,21,10
211,"derby 20141101","derby",20141101,1,1,0,0,0,0,0,0,0,3,1,4,2,2,0,4,0,1,5,22,13
212,"derby 20141226","derby",20141226,4,0,1,0,0,0,0,0,0,3,2,2,2,1,2,1,0,3,9,16,11
213,"derby 20141108","derby",20141108,5,0,0,1,0,0,0,0,0,2,4,3,1,1,1,3,0,4,9,19,11
214,"derby 20141104","derby",20141104,3,0,0,0,0,0,0,0,0,2,2,3,4,1,1,2,1,1,9,18,15
215,"derby 20141206","derby",20141206,3,0,0,0,0,0,0,0,0,3,3,1,0,4,0,2,5,3,4,17,16
216,"derby 20141018","derby",20141018,3,0,0,0,0,0,0,0,0,0,3,4,2,0,0,2,0,3,9,10,9
217,"derby 20141004","derby",20141004,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,1,1,0,12,35,7
218,"derby 20140930","derby",20140930,2,0,0,0,1,0,0,0,0,1,2,7,1,3,0,2,3,2,7,21,14
219,"derby 20141122","derby",20141122,2,0,0,0,0,0,0,0,0,1,1,2,3,1,1,1,1,2,9,16,9
220,"derby 20140927","derby",20140927,2,0,0,0,0,0,0,1,0,1,2,3,5,3,0,2,0,2,7,19,14
221,"derby 20141021","derby",20141021,1,0,0,0,0,0,1,0,0,2,1,2,2,0,0,3,3,0,10,31,11
222,"derby 20141025","derby",20141025,1,0,0,1,0,0,0,0,1,2,1,3,0,1,0,4,1,1,5,17,9
223,"derby 20140917","derby",20140917,3,1,0,0,0,0,0,0,0,1,2,3,3,4,1,1,1,1,3,13,13
224,"derby 20140920","derby",20140920,2,0,0,0,0,0,0,0,0,2,1,2,2,2,1,7,1,2,7,45,13
225,"derby 20140914","derby",20140914,1,0,0,2,1,0,0,0,0,2,1,1,4,1,0,3,1,0,6,17,7
226,"derby 20140830","derby",20140830,1,0,0,0,0,0,0,0,0,2,1,3,2,1,0,1,2,0,7,20,8
227,"derby 20140823","derby",20140823,5,0,0,0,0,0,0,0,0,1,5,5,3,2,0,0,2,4,4,21,16
228,"derby 20140816","derby",20140816,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,2,0,0,4,16,9
