Ref,Name,Pos,Team,Value,Owners
110,Adrian Mariappa,Defender,Crystal Palace,4.2,3941
111,Ryan Inniss,Defender,Crystal Palace,3.9,6418
112,Scott Dann,Defender,Crystal Palace,4.9,59010
113,Barry Bannan,Midfielder,Crystal Palace,4.7,747
114,Yannick Bolasie,Midfielder,Crystal Palace,5.6,243072
115,Owen Garvan,Midfielder,Crystal Palace,4.5,564
116,Mile Jedinak,Midfielder,Crystal Palace,5,75836
117,Jonathan Williams,Midfielder,Crystal Palace,4.8,483
118,Jerome Thomas,Midfielder,Crystal Palace,4.3,1245
119,Jason Puncheon,Midfielder,Crystal Palace,5.5,178216
120,Jose Campana,Midfielder,Crystal Palace,4.5,54
121,Stuart OKeefe,Midfielder,Crystal Palace,4.5,1174
122,Jimmy Kebe,Midfielder,Crystal Palace,4.5,1609
123,Adlene Guedioura,Midfielder,Crystal Palace,4.4,945
124,Hiram Boateng,Midfielder,Crystal Palace,4.3,9809
125,Joe Ledley,Midfielder,Crystal Palace,5.2,2270
126,Glenn Murray,Forward,Crystal Palace,4.5,49922
127,Dwight Gayle,Forward,Crystal Palace,4.5,25093
128,Stephen Dobbie,Forward,Crystal Palace,4.5,570
129,Marouane Chamakh,Forward,Crystal Palace,5.2,12988
130,Tim Howard,Goalkeeper,Everton,5.1,324458
131,Joel Robles,Goalkeeper,Everton,4.8,2739
132,Phil Jagielka,Defender,Everton,5.8,557019
133,Tony Hibbert,Defender,Everton,4.3,2152
134,Leighton Baines,Defender,Everton,7.1,458814
135,Sylvain Distin,Defender,Everton,5.2,48468
136,Shane Duffy,Defender,Everton,4,4691
137,Seamus Coleman,Defender,Everton,6.8,191552
138,Antolin Alcaraz,Defender,Everton,4.2,3566
139,John Stones,Defender,Everton,5.2,57865
140,Luke Garbutt,Defender,Everton,3.9,11101
141,Tyias Browning,Defender,Everton,4,6554
142,Bryan Oviedo,Defender,Everton,4.7,649
143,Leon Osman,Midfielder,Everton,5,16095
144,Darron Gibson,Midfielder,Everton,4.2,14317
145,Ross Barkley,Midfielder,Everton,6.6,116681
