Ref,Name,Pos,Team,Value,Owners
495,Victor Anichebe,Forward,West Brom,4.9,7893
496,Saido Berahino,Forward,West Brom,5.6,399080
497,Jussi Jaaskelainen,Goalkeeper,West Ham,4.2,21033
498,Adrian,Goalkeeper,West Ham,5.2,100857
499,James Collins,Defender,West Ham,4.4,12227
500,Joey OBrien,Defender,West Ham,4.2,12526
501,Winston Reid,Defender,West Ham,4.8,23634
502,Guy Demel,Defender,West Ham,4.7,6227
503,Daniel Potts,Defender,West Ham,3.9,10142
504,James Tomkins,Defender,West Ham,4.6,11660
505,Leo Chambers,Defender,West Ham,3.9,24112
506,Aaron Cresswell,Defender,West Ham,5.6,183709
507,Stewart Downing,Midfielder,West Ham,5.9,655802
508,Mark Noble,Midfielder,West Ham,5.3,46971
509,Ravel Morrison,Midfielder,West Ham,4.8,592
510,Kevin Nolan,Midfielder,West Ham,6.2,36869
511,Mohamed Diame,Midfielder,Hull,5.1,27969
512,Alou Diarra,Midfielder,West Ham,4.5,2748
513,Matthew Jarvis,Midfielder,West Ham,5.2,1664
514,Cheikhou Kouyate,Midfielder,West Ham,4.9,16862
515,Diego Poyet,Midfielder,West Ham,4.3,15682
516,Andy Carroll,Forward,West Ham,6.3,8570
517,Ricardo Vaz Te,Forward,West Ham,4.1,50825
518,Modibo Maiga,Forward,West Ham,4.9,576
519,Elliot Lee,Forward,West Ham,4.3,5787
520,Carlton Cole,Forward,West Ham,4.6,19993
521,Mauro Zarate,Forward,QPR,6.1,13893
522,Costa,Forward,Chelsea,10.6,1000865
523,Lukas Jutkiewicz,Forward,Burnley,4.4,7407
524,Lazar Markovic,Midfielder,Liverpool,7,7708
525,Remy Cabella,Midfielder,Newcastle,7,29806
526,Emmanuel Riviere,Forward,Newcastle,6.7,14935
527,Daryl Janmaat,Defender,Newcastle,5.3,262606
528,Filipe Luis Kasmirski,Defender,Chelsea,5.3,78297
529,Rio Ferdinand,Defender,QPR,4.2,81473
530,Enner Valencia,Forward,West Ham,6.3,23429
531,Brown Ideye,Forward,West Brom,4.8,4235
532,Leonardo Ulloa,Forward,Leicester,5,282841
533,Bojan Krkic,Forward,Stoke,4.9,88141
534,Steven Caulker,Defender,QPR,4.6,168541
535,Gerhard Tremmel,Goalkeeper,Swansea,4.4,3631
536,Fraizer Campbell,Forward,Crystal Palace,5,38675
537,Jefferson Montero,Midfielder,Swansea,5.4,5362
538,Zoumana Bakayogo,Defender,Leicester,4,6944
539,Alan Hutton,Defender,Aston Villa,4.3,274090
540,Kurt Zouma,Defender,Chelsea,4.2,29722
541,Patrick van Aanholt,Defender,Sunderland,4.1,162469
542,Didier Drogba,Forward,Chelsea,5.9,36520
543,David Ospina,Goalkeeper,Arsenal,5,139783
544,Muhamed Besic,Midfielder,Everton,4.5,9663
545,Andrew Robertson,Defender,Hull,4.2,16256
546,Harry Maguire,Defender,Hull,4.1,1892
547,Brede Hangeland,Defender,Crystal Palace,4.6,24518
548,Eric Dier,Defender,Spurs,4.6,387319
549,Facundo Ferreyra,Forward,Newcastle,5.6,1768
550,Javier Manquillo,Defender,Liverpool,4.4,10435
551,Frank Lampard,Midfielder,Man City,5,43261
552,Jordon Mutch,Midfielder,Crystal Palace,5,21481
553,Jason Davidson,Defender,West Brom,4.2,1132
554,Cristian Gamboa,Defender,West Brom,4.1,2456
555,Bradley Jones,Goalkeeper,Liverpool,4.9,1725
556,Saphir Taider,Midfielder,Southampton,5.4,799
557,Mauricio Isla,Defender,QPR,4.6,11647
558,Aly Cissokho,Defender,Aston Villa,4.4,112861
559,Bruno Zuculini,Midfielder,Man City,5.5,346
560,Fraser Forster,Goalkeeper,Southampton,5.3,233714
561,Santiago Vergini,Defender,Sunderland,4.5,45149
562,Eliaquim Mangala,Defender,Man City,6,33489
563,Rolando Aarons,Midfielder,Newcastle,4.7,1930
564,Jerome BinnomWilliams,Defender,Crystal Palace,4.4,1588
565,Reece James,Defender,Man Utd,4.3,2098
566,Tyler Blackett,Defender,Man Utd,3.9,30072
567,Christian Atsu,Midfielder,Everton,5.7,2032
568,William Buckley,Midfielder,Sunderland,5,1083
569,Florin Gardos,Defender,Southampton,4,2721
570,Diafra Sakho,Forward,West Ham,5.2,59990
571,Francis Coquelin,Midfielder,Arsenal,4.5,13159
572,Damian Emiliano Martinez,Goalkeeper,Arsenal,4.5,2178
573,Tom Hopper,Forward,Leicester,4.4,3371
574,Ben Amos,Goalkeeper,Man Utd,4.5,906
575,Josh Sheehan,Midfielder,Swansea,4.4,1348
576,Reece Burke,Defender,West Ham,4,5875
577,Kelvin Davis,Goalkeeper,Southampton,4.5,51195
578,Cameron Dummigan,Defender,Burnley,3.9,3176
579,Alberto Moreno,Defender,Liverpool,5.1,188960
580,Stephen Ward,Defender,Burnley,4.5,510
581,Carlos Sanchez,Midfielder,Aston Villa,4.4,15048
582,Marcos Rojo,Defender,Man Utd,5.7,24753
583,Leroy Fer,Midfielder,QPR,5.2,24647
584,Federico Fernandez,Defender,Swansea,4.9,6661
585,Eduardo Vargas,Forward,QPR,6.1,3743
586,Georgios Samaras,Forward,West Brom,4.7,1280
587,Mario Balotelli,Forward,Liverpool,9.2,42589
588,Angel Di Maria,Midfielder,Man Utd,9.4,332425
589,Samuel Etoo,Forward,Everton,5.2,21747
590,Silvestre Varela,Midfielder,West Brom,6,201
591,Federico Fazio,Defender,Spurs,4.7,2139
592,Esteban Cambiasso,Midfielder,Leicester,4.8,87239
593,Alexandre Song,Midfielder,West Ham,4.8,8819
594,Abel Hernandez,Forward,Hull,6.3,4171
595,Benjamin Stambouli,Midfielder,Spurs,4.6,275
596,RicardoAlvarez,Midfielder,Sunderland,5.7,364
597,Daley Blind,Midfielder,Man Utd,4.9,35212
598,James McArthur,Midfielder,Crystal Palace,5.2,601
599,Morgan Amalfitano,Midfielder,West Ham,4.9,2893
600,Niko Kranjcar,Midfielder,QPR,4.3,4230
601,Toby Alderweireld,Defender,Southampton,4.7,82572
602,Kevin Doyle,Forward,Crystal Palace,4.6,681
603,Radamel Falcao Garcia,Forward,Man Utd,10.3,63581
604,Sadio Mane,Midfielder,Southampton,6.3,86165
605,Sebastian Blanco,Midfielder,West Brom,5.2,87
606,Nathaniel Chalobah,Midfielder,Chelsea,4.3,439
607,Alex McCarthy,Goalkeeper,QPR,4,19279
608,Sam McQueen,Midfielder,Southampton,4.5,644
609,Adam Smith,Goalkeeper,Leicester,4,5198
610,Luke Daniels,Goalkeeper,West Brom,4,4385
611,Andreas Pereira,Midfielder,Man Utd,5,436
612,Andrew Johnson,Forward,Crystal Palace,4.5,1236
613,Ryan Mason,Midfielder,Spurs,4.5,7177
614,Jose Pozo,Forward,Man City,4.7,502
615,Jason McCarthy,Defender,Southampton,4,2618
616,Patrick McNair,Defender,Man Utd,4.4,7803
617,Tom Thorpe,Defender,Man Utd,4,973
618,Eldin Jakupovic,Goalkeeper,Hull,4,93337
619,Steven Hewitt,Midfielder,Burnley,4.5,560
620,Liam Shephard,Defender,Swansea,4,1428
621,Semi Ajayi,Defender,Arsenal,4,1435
622,Dominic Solanke,Forward,Chelsea,5,360
623,Rory Watson,Goalkeeper,Hull,4,4708
624,Anthony Reveillere,Defender,Sunderland,4.5,4582
625,Marnick Vermijl,Defender,Man Utd,4,564
626,Thomas Robson,Defender,Sunderland,4,929
627,Modou Barrow,Forward,Swansea,4.4,272
628,Sebastian Lletget,Midfielder,West Ham,4.5,197
629,Remie Streete,Defender,Newcastle,4,491
630,Cristian Ceballos,Midfielder,Spurs,5,150
631,Dominic Ball,Defender,Spurs,4,975
632,Jack Butland,Goalkeeper,Stoke,4.5,1960
633,Ryan Huddart,Goalkeeper,Arsenal,4,1157
634,Oliver Shenton,Midfielder,Stoke,4.4,218
635,Matthew Macey,Goalkeeper,Arsenal,4,1283
636,Jak Alnwick,Goalkeeper,Newcastle,3.9,23472
637,Chris Herd,Defender,Aston Villa,4,792
638,Will Keane,Forward,Man Utd,4.5,465
639,Jose Angel Esmoris Tasende,Defender,Man City,4.5,370
640,Ainsley MaitlandNiles,Midfielder,Arsenal,4.4,157
641,Jake Hesketh,Midfielder,Southampton,4.9,28
642,Haris Vuckic,Midfielder,Newcastle,4.4,124
643,Freddie Woodman,Goalkeeper,Newcastle,4,1274
644,Mark Schwarzer,Goalkeeper,Leicester,4.5,2586
645,David Cornell,Goalkeeper,Swansea,4,2202
646,Riccardo Calder,Midfielder,Aston Villa,4.5,263
647,Thierry Ambrose,Forward,Man City,4.5,648
648,Dominic Gape,Midfielder,Southampton,4.5,64
649,Ryan Seager,Forward,Southampton,4.5,207
650,Oluwaseyi Ojo,Midfielder,Liverpool,5,78
651,Russell Griffiths,Goalkeeper,Everton,4,1827
652,Danny Ward,Goalkeeper,Liverpool,4,4812
653,Adil Nabi,Forward,West Brom,4.5,482
654,Victor Valdes,Goalkeeper,Man Utd,4.9,4814
655,Eljero Elia,Midfielder,Southampton,4.3,25104
656,Philipp Wollscheid,Defender,Stoke,4.2,9337
657,Matt Grimes,Midfielder,Swansea,4.9,155
658,Nelson Miguel Castro Oliveira,Forward,Swansea,5.5,399
659,Doneil Henry,Defender,West Ham,3.9,1334
660,DeAndre Yedlin,Defender,Spurs,4.3,633
661,Carles Gil de Pareja Vicent,Midfielder,Aston Villa,4.2,3331
662,Jermain Defoe,Forward,Sunderland,4.8,90620
663,Andrej Kramaric,Forward,Leicester,5,1933
664,Jordan Williams,Defender,Liverpool,4,1296
665,Gabriel Armando de Abreu,Defender,Arsenal,5.1,1512
666,Krystian Bielik,Midfielder,Arsenal,4.4,317
667,Callum McManaman,Midfielder,West Brom,4.4,515
668,Shola Ameobi,Forward,Crystal Palace,4.5,390
669,Andreas Christensen,Defender,Chelsea,4.5,287
670,Ruben LoftusCheek,Midfielder,Chelsea,5,891
671,Reece Oxford,Defender,West Ham,4,1432
672,Jack Rose,Goalkeeper,West Brom,4,5645
673,Juan Cuadrado,Midfielder,Chelsea,7.2,3778
674,Filip Djuricic,Midfielder,Southampton,5.7,204
675,Chungyong Lee,Midfielder,Crystal Palace,5,179
676,Dame NDoye,Forward,Hull,5.5,15138
677,Jake Flannigan,Midfielder,Southampton,4.5,252
678,Michael Doughty,Midfielder,QPR,4.5,32
679,Pape Souare,Defender,Crystal Palace,4.3,258
680,Darnell Furlong,Defender,QPR,3.9,413
681,Anderson Luis de Carvalho,Midfielder,West Ham,5.3,109
682,Duncan Watmore,Forward,Sunderland,4.5,545
683,Jake Gray,Midfielder,Crystal Palace,4.5,130
684,Reece GregoCox,Midfielder,QPR,4.3,69
685,Brandon Comley,Midfielder,QPR,4.4,141
686,Emmanuel Onariase,Defender,West Ham,4,441
687,Josh Cullen,Midfielder,West Ham,4.5,108
688,Lewis Kinsella,Defender,Aston Villa,4,412
689,Rushian Hepburn-Murphy,Forward,Aston Villa,4.4,49
690,Olivier Kemen,Midfielder,Newcastle,4.5,151
691,Cameron Brannagan,Midfielder,Liverpool,4.5,139
692,Frankie Sutherland,Midfielder,QPR,4.5,98
693,Fredrik Ulvestad,Midfielder,Burnley,4.5,114
694,Aaron Mitchell,Midfielder,QPR,4.5,231
695,Jamie Sterry,Defender,Newcastle,4,566
696,George Honeyman,Midfielder,Sunderland,4.5,329
697,Raheem Hanley,Defender,Swansea,4,455
698,Mitchell Beeney,Goalkeeper,Chelsea,4,275
699,Jerome Sinclair,Forward,Liverpool,4.5,154
700,Brendan Galloway,Defender,Everton,4,97
701,Jamal Blackman,Goalkeeper,Chelsea,4,179
704,Jed Steer,Goalkeeper,Aston Villa,4,
708,Kenji Gorre,Midfielder,Swansea,4.5,
710,Cole Kpekawa,Defender,QPR,4,
